japanese,english,reading
ききます,ask,kikimasu
[せんせいに~] ききます,ask [the teacher],[sensei ni~] kikimasu
まわします,turn / rotate,mawashimasu
ひきます,pull,hikimasu
かえます,change,kaemasu
さわります,touch,sawarimasu
[ドアに~] さわります,touch [a door],[doa ni~] sawarimasu
でます,come out / emerge,demasu
[おつりが~] でます,come out [change],[otsuri ga~] demasu
あるきます,walk,arukimasu
[みちを~] あるきます,walk [along a road],[michi o~] arukimasu
わたります,cross,watarimasu
[はしを~] わたります,cross [a bridge],[hashi o~] watarimasu
きをつけます,pay attention / take care,ki o tsukemasu
[くるまに~] きをつけます,take care [of cars],[kuruma ni~] ki o tsukemasu
ひっこしします,move (house),hikkoshishimasu
でんきや,electrical appliance store,denkiya
~や,~ store / ~ shop,~ya
サイズ,size,saizu
おと,sound,oto
きかい,machine,kikai
つまみ,knob,tsumami
こしょう,breakdown / failure,koshō
[~が~] こしょうします,break down,[~ ga~] koshōshimasu
みち,road / way / street,michi
こうさてん,intersection / crossroads,kōsaten
しんごう,traffic light,shingō
かど,corner,kado
はし,bridge,hashi
ちゅうしゃじょう,parking lot / car park,chūshajō
たてもの,building,tatemono
がいこくじん,foreigner,gaikokujin
~や,shop / store / seller,~ya
しょうがつ,New Year's Day / New Year,shōgatsu
ごちそうさまでした,Thank you for the meal (after eating),gochisōsama deshita
たてもの,building,tatemono
がいこくじん,foreigner,gaikokujin
なんかいも,many times / repeatedly,nankaimo
~め,~th (ordinal number prefix),~me
ひとつめ,the first one,hitotsume
しょうゆ,soy sauce,shōyu
ソース,sauce,sōsu
おひきだしですか,Are you making a withdrawal?,ohikidashi desu ka
つまみ,knob,tsumami
どういたしまして,You're welcome.,dōitashimashite
