japanese,english,reading
反対,opposite,hantai
低い,low,hikui
必要な,necessary,hitsuyou na
昼,noon,hiru
広い,wide,hiroi
太い,fat/thick,futoi
不便な,inconvenient,fuben na
冬,winter,fuyu
古い,old,furui
勉強,study,benkyou
返事,reply,henji
便利な,convenient,benri na
前,front,mae
町,town,machi
間に合う,to be in time,ma ni au
短い,short,mijikai
湖,lake,mizuumi
店,shop,mise
道,road,michi
港,port,minato
南,south,minami
耳,ear,mimi
村,village,mura
無理な,impossible,muri na
目,eye,me
持つ,to hold,motsu
森,forest,mori
野菜,vegetable,yasai
安い,cheap,yasui
休む,to rest,yasumu
夕方,evening,yuugata
有名な,famous,yuumei na
雪,snow,yuki
指,finger,yubi
輸入,import,yunyuu
用意,preparation,youi
予習,preparation for class,yoshuu
読む,to read,yomu
喜ぶ,to be glad,yorokobu
弱い,weak,yowai
料理,cooking,ryouri
悪い,bad,warui
