japanese,english,reading
[ドアが~] あきます,[a door] open,[doa ga~] akimasu
[ドアが~] しまります,[a door] close / shut,[doa ga~] shimarimasu
[でんきが~] つきます,[a light] come on / be turned on,[denki ga~] tsukimasu
[でんきが~] きえます,[a light] go off / disappear,[denki ga~] kiemasu
[いすが~] こわれます,[a chair] break,[isu ga~] kowaremasu
[コップが~] われます,[a glass] break / smash,[koppu ga~] waremasu
[きが~] おれます,[a tree] break / snap,[ki ga~] oremasu
[かみが~] やぶれます,[paper] tear,[kami ga~] yaburemasu
[ふくが~] よごれます,[clothes] get dirty,[fuku ga~] yogoremasu
[ポケットが~] つきます,[a pocket] be attached,[poketto ga~] tsukimasu
[ボタンが~] はずれます,[a button] come off / be undone,[botan ga~] hazuremasu
[くるまが~] とまります,[a car] stop / park,[kuruma ga~] tomarimasu
まちがえます,make a mistake,machigaemasu
おとします,drop / lose,otoshimasu
[かぎが~] かかります,be locked,[kagi ga~] kakarimasu
ふきます,wipe,fukimasu
とりかえます,change,torikaemasu
かたづけます,put (things) in order / tidy up,katazukimasu
おさら,plate / dish,osara
おちゃわん,rice bowl,ochawan
コップ,glass (vessel),koppu
ガラス,glass (material),garasu
ふくろ,bag,fukuro
さいふ,wallet / purse,saifu
しょるい,document / papers,shorui
えだ,branch / twig,eda
えきいん,station employee / attendant,ekiin
こうばん,police box,kōban
スピーチ,speech,supīchi
へんじ,reply / answer,henji
おさきにどうぞ,after you / go ahead please,osaki ni dōzo
いまのでんしゃ,the train which has just left,ima no densha
わすれもの,things left behind / lost property,wasuremono
このくらい,about this size,kono kurai
~がわ,~ side,~gawa
ポケット,pocket,poketto
~へん,"around ~, ~ about",~hen
このへん,this neighborhood / around here,kono hen
おぼえていません,I don't remember,oboete imasen
あみだな,overhead rack,amidana
たしか,I'm pretty sure / if I am correct,tashika
ああ、よかった,thank goodness / that's great,ā yokatta
じしん,earthquake,jishin
かべ,wall,kabe
はり,hands (of a clock),hari
さします,point,sashimasu
えきまえ,the area in front of a station,ekimae
たおれます,fall down,taoremasu
にし,west,nishi
~のほう,direction of ~,~ no hō
もえます,burn,moemasu
レポーター,reporter,repōtā
