japanese,english,reading
あそびます,play / visit someone / have fun,asobimasu
およぎます,swim,oyogimasu
むかえます,go to meet / welcome,mukaemasu
つかれます,get tired,tsukaremasu
だします,send [a letter],dashimasu
[てがみを~] だします,send [a letter],[tegami o~] dashimasu
はいります,enter [a coffee shop],hairimasu
[きっさてんに~] はいります,enter [a coffee shop],[kissaten ni~] hairimasu
でます,go out [of a coffee shop],demasu
[きっさてんを~] でます,go out [of a coffee shop],[kissaten o~] demasu
けっこんします,marry / get married,kekkonshimasu
かいものします,do shopping,kaimonoshimasu
しょくじします,have a meal / dine,shokujishimasu
さんぽします,take a walk [in a park],sanposhimasu
[こうえんを~] さんぽします,take a walk [in a park],[kōen o~] sanposhimasu
たいへん[な],hard / tough / severe / awful,taihen[na]
ほしい,want (something),hoshii
さびしい,lonely,sabishii
ひろい,wide / spacious,hiroi
せまい,narrow / small (room etc.),semai
しやくしょ,city hall,shiyakusho
プール,swimming pool,pūru
かわ,river,kawa
けいざい,economy / economics,keizai
びじゅつ,fine art,bijutsu
つり,fishing,tsuri
[を~] します,fish / go fishing,[o~] shimasu
スキー,skiing,sukī
[を~] します,ski / go skiing,[o~] shimasu
かいぎ,meeting / conference,kaigi
[を~] します,hold a meeting,[o~] shimasu
とうろく,registration,tōroku
[を~] します,register,[o~] shimasu
しゅうちょう,business trip,shūchō
[を~] します,go on a business trip,[o~] shimasu
おみやげ,souvenir / present,omiyage
~ごろ,about ~ (time),~goro
なにか,something,nanika
どこか,somewhere / some place,dokoka
おなかがすきました,I'm hungry.,onaka ga sukimashita
おなかがいっぱいです,I'm full.,onaka ga ippai desu
のどがかわきました,I'm thirsty.,nodo ga kawakimashita
そうですね,I agree with you. / Let me see.,sō desu ne
そうしましょう,Let's do that.,sō shimashō
ご注文は,May I take your order?,go-chūmon wa
ていしょく,set meal,teishoku
ぎゅうどん,bowl of rice topped with beef,gyūdon
[少々] お待ちください,Please wait [a moment].,[shōshō] omachi kudasai
でございます,polite equivalent of です,de gozaimasu
べつべつに,separately,betsubetsu ni
