japanese,english,reading
はります,put up / post / paste,harimasu
かけます,hang,kakemasu
[カレンダーを~] かけます,hang [a calendar],[karenda- o~] kakemasu
かざります,display / decorate,kazarimasu
ならべます,arrange / line up,narabemasu
うえます,plant,uemasu
もどします,return / put back,modoshimasu
まとめます,put together / summarize,matomemasu
かたづけます,put things in order / tidy up,katazukimasu
しまいます,put away,shimaimasu
きめます,decide,kimemasu
しらせます,inform / notify,shirasemasu
そうだんします,consult / discuss,sōdanshimasu
よしゅうします,prepare for a lesson,yoshūshimasu
ふくしゅうします,review a lesson,fukushūshimasu
そのままにします,leave things as they are,sonomama ni shimasu
おこさん,(someone else's) child,okosan
じゅぎょう,class / lesson,jugyō
こうぎ,lecture,kōgi
ミーティング,meeting,mītingu
よてい,plan / schedule,yotei
おしらせ,notice / announcement,oshirase
あんないしょ,guidebook / guide brochure,annaisho
カレンダー,calendar,karendā
ポスター,poster,posutā
ごみばこ,trash can / dustbin,gomibako
にんぎょう,doll,ningyō
かびん,vase,kabin
かがみ,mirror,kagami
ひきだし,drawer,hikidashi
げんかん,entrance hall / foyer,genkan
ろうか,corridor / hallway,rōka
かべ,wall,kabe
いけ,pond,ike
こうばん,police box,kōban
もとのところ,original place,moto no tokoro
まわり,around / surrounding,mawari
まんなか,center / middle,mannaka
すみ,corner,sumi
まだ,still,mada
ほど,about / approximately,hodo
よていひょう,schedule / itinerary,yoteihyō
ごくろうさま,Thank you for your hard work (used by superiors),gokurōsama
きぼう,hope / desire / wish,kibō
ミュージカル,musical,myūjikaru
それはいいですね,That's a good idea / That sounds nice,sore wa ii desu ne
まるい,round / circular,marui
ある~,a certain ~ / some ~,aru~
ちきゅう,earth / planet earth,chikyū
うれしい,happy / glad,ureshishi
いや[な],hateful / disagreeable / unpleasant,iya[na]
すると,then / and just then,suruto
めがさめます,wake up,me ga samemasu
