japanese,english,reading
うれます,sell / be sold,uremasu
[パンが~] うれます,[bread] sell / be sold,[pan ga~] uれます
おどります,dance,odorimasu
かみます,chew / bite,kamimasu
えらびます,choose / select,erabimasu
ちがいます,be different,chigaimasu
かよいます,go to and from / commute,kayoimasu
[だいがくに~] かよいます,commute to [university],[daigaku ni~] kayoimasu
メモします,take a memo / note down,memoshimasu
まじめ[な],serious / earnest / honest,majime[na]
ねっしん[な],earnest / enthusiastic,nesshin[na]
やさしい,gentle / kind,yasashii
えらい,great / admirable,erai
ちょうどいい,proper / just right,chōdo ii
しゅうかん,custom / habit,shūkan
けいけん,experience,keiken
ちから,power / strength / ability,chikara
にんき,popularity,ninki
[がくせいに~] にんきがあります,be popular [with students],[gakusei ni~] ninki ga arimasu
かたち,shape / form,katachi
いろ,color,iro
あじ,taste / flavor,aji
ガム,chewing gum,gamu
しなもの,goods / article,shinamono
ねだん,price,nedan
きゅうりょう,salary,kyūryō
ボーナス,bonus,bōnasu
ばんぐみ,program (e.g. TV program),bangumi
ドラマ,drama / TV show,dorama
かしゅ,singer,kashu
しょうせつ,novel,shōsetsu
しょうせつか,novelist,shōsetsuka
かんりにん,janitor / caretaker / manager,kanrinin
むすこ,(my) son,musuko
むすこさん,(someone else's) son,musukosan
むすめ,(my) daughter,musume
むすめさん,(someone else's) daughter,musumesan
じぶん,oneself,jibun
しょうらい,future,shōrai
しばらく,a little while / for a short while,shibaraku
たいてい,usually / mostly,taitei
それに,in addition / moreover,soreni
それで,and so / therefore,sorede
おねがいがあるんですが,I have a favor to ask.,onegai ga aru n desu ga
ホームステイ,homestay,hōmustei
かいわ,conversation,kaiwa
おしゃべりします,chat / talk,oshaberishimasu
おしらせ,notice / announcement,oshirase
ひにち,date,hinichi
どようび,Saturday,doyōbi
たいいくかん,gymnasium,taiikukan
むりょう,free of charge,muryō
