japanese,english,reading
はじまります,begin / start,hajimerimasu
[しきが~] はじまります,[a ceremony] begin / start,[shiki ga~] hajimerimasu
つづけます,continue,tsuzukemasu
みつけます,find,mitsukemasu
うけます,take [an examination],ukemasu
[しけんを~] うけます,take [an examination],[shiken o~] ukemasu
にゅうがくします,enter [a university],nyūgakushimasu
[だいがくに~] にゅうがくします,enter [a university],[daigaku ni~] nyūgakushimasu
そつぎょうします,graduate [from a university],sotsugyōshimasu
[だいがくを~] そつぎょうします,graduate [from a university],[daigaku o~] sotsugyōshimasu
しゅっせきします,attend [a meeting],shussekishimasu
[かいぎに~] しゅっせきします,attend [a meeting],[kaigi ni~] shussekishimasu
きゅうけいします,take a break / take a rest,kyūkeishimasu
れんきゅう,consecutive holidays,renkyū
さくぶん,essay / composition,sakubun
てんらんかい,exhibition,tenrankai
けっこんしき,wedding ceremony,kekkonshiki
[お]そうしき,funeral,[o]sōshiki
しき,ceremony,shiki
ほんしゃ,head office,honsha
してん,branch office,shiten
きょうかい,church,kyōkai
だいがくいん,graduate school,daigakuin
どうぶつえん,zoo,dōbu tsuen
おんせん,hot spring / spa,onsen
おきゃく[さん],visitor / guest / customer / client,okyaku[san]
だれか,somebody,dareka
~のほう,place toward ~ / direction of ~,~ no hō
ずっと,all the time / much more,zutto
のこります,remain / be left behind,nokorimasu
つきに,per month / in a month,tsuki ni
ふつうの,ordinary / regular,futsū no
インターネット,Internet,intānetto
むら,village,mura
えいがかん,movie theater,eigakan
とじます,close / shut,tojimasu
とかい,city / town,tokai
こどもたち,children,kodomotachi
じゆうに,freely,jiyūni
せかいじゅう,all over the world,sekaijū
あつまります,gather / assemble,atsumarimasu
うつくしい,beautiful,utsukushii
しぜん,nature,shizen
すばらしさ,goodness / splendor,subarashisa
きがつきます,notice / become aware of,ki ga tsukimasu
