japanese,english,reading
のぼります,climb,noborimasu
[やまに~] のぼります,climb [a mountain],[yama ni~] noぼります
とまります,stay [at a hotel],tomarimasu
[ホテルに~] とまります,stay [at a hotel],[hoteru ni~] tomarimasu
そうじします,clean (a room),sōjishimasu
せんたくします,wash (clothes),sentakushimasu
なります,become,narimasu
ねむい,sleepy,nemui
つよい,strong,tsuyoi
よわい,weak,yowai
れんしゅう,practice,renshū
[~を~] れんしゅうします,practice [~],[~ o~] renshūshimasu
ゴルフ,golf,gorufu
[~を~] します,play golf,[~ o~] shimasu
すもう,sumo wrestling,sumō
パチンコ,pachinko (Japanese pinball),pachinko
おちゃ,tea ceremony / tea,ocha
ひ,day / date,hi
いちど,once,ichido
いちども,not once / never (used with negative),ichidomo
だんだん,gradually,dandan
もうすぐ,soon,mō sugu
おかげさまで,Thanks to you / Fortunately,okagesamade
でも,but,demo
かんぱい,Cheers!,kanpai
ダイエット,diet,daietto
[~を~] します,go on a diet,[~ o~] shimasu
むり[な],impossible / excessive,muri[na]
からだにいい,good for one's health,karada ni ii
ケーキ,cake,kēki
コンテスト,contest,kontesto
きもの,kimono,kimono
びょういん,hospital,byōin
こうえん,park,kōen
