japanese,english,reading
かえます,can buy / be able to buy,kaemasu
かいます,keep (an animal) / raise,kaimasu
[みちを~] はしります,run / drive [along a road],[michi o~] hashirimasu
みえます,can be seen,miemasu
[やまが~] みえます,[a mountain] can be seen,[yama ga~] miemasu
きこえます,can be heard,kikoemasu
[おとが~] きこえます,[a sound] can be heard,[oto ga~] kikoemasu
できます,be made / be completed / come into being,dekimasu
[くうこうが~] できます,[an airport] be made / completed,[kūkō ga~] dekimasu
ひらきます,set up [a class] / open / hold,hirakimasu
[きょうしつを~] ひらきます,set up [a class] / open / hold,[kyōshitsu o~] hirakimasu
ペット,pet,petto
とり,bird,tori
こえ,voice,koe
なみ,wave,nami
はなび,fireworks,hanabi
けしき,scenery / view,keshiki
ひるま,daytime,hiruma
むかし,old days / ancient times,mukashi
どうぐ,tool / instrument / equipment,dōgu
クリーニング,cleaning / dry cleaning,kurīningu
いえ,house / home,ie
マンション,mansion / apartment house / condominium,manshon
キッチン,kitchen,kicchin
~きょうしつ,~ class,~kyōshitsu
パーティールーム,party room,pātīrūmu
かた,person (respectful equivalent of ひと),kata
~ご,after ~ (duration of time),~go
~しか,only ~ (used with negatives),~shika
ほかの,other,hokanodesu
はっきり,clearly,hakkiri
ほとんど,almost all / hardly (with negative),hotondo
かぐ,furniture,kagu
ほんだな,bookshelf,hondana
いつか,sometime / someday,itsuka
たてます,build,tatemasu
すばらしい,wonderful / gorgeous,subarashii
こどもたち,children,kodomotachi
だいすき[な],favorite / very fond of,daisuki[na]
しゅんこう,hero of a story/novel,shunkō
かたち,shape,katachi
ふしぎ[な],fantastic / mysterious / strange,fushigi[na]
ポケット,pocket,poketto
たとえば,for example,tatoeba
つけます,attach / put on,tsukemasu
じゆうに,freely,jiyūni
そら,sky,sora
とびます,fly,tobimasu
じぶん,oneself,jibun
しょうらい,future,shōrai
