japanese,english,reading
うんどうします,take exercise,undōshimasu
せいこうします,succeed,seikōshimasu
しっぱいします,fail [an examination],shippaishimasu
[しけんに~] しっぱいします,fail [an examination],[shiken ni~] shippaishimasu
ごうかくします,pass [an examination],gōkakushimasu
[しけんに~] ごうかくします,pass [an examination],[shiken ni~] gōkakushimasu
もどります,return,modorimasu
やみます,stop [rain],yamimasu
[あめが~] やみます,stop [rain],[ame ga~] yamimasu
はれます,clear up,haremasu
くもります,get cloudy,kumorimasu
ふきます,blow [wind],fukimasu
[かぜが~] ふきます,blow [wind],[kaze ga~] fukimasu
なおります,recover from [an illness] / be repaired,naorimasu
[びょうきが~] なおります,recover from [an illness],[byōki ga~] naorimasu
[こしょうが~] なおります,be repaired [a breakdown],[koshō ga~] naorimasu
つづきます,continue [a fever],tsuzukimasu
[ねつが~] つづきます,continue [a fever],[netsu ga~] tsuzukimasu
ひきます,catch [a cold],hikimasu
[かぜを~] ひきます,catch [a cold],[kaze o~] hikimasu
ひやします,cool,hiyashimasu
しんぱい[な],worried / anxious,shinpai[na]
じゅうぶん[な],enough / sufficient,jūbun[na]
おかしい,strange / funny,okashii
うるさい,noisy,urusai
やけど,burn / scalding,yakedo
[やけどを~] します,get a burn,[yakedo o~] shimasu
けが,injury,kega
[けがを~] します,get an injury,[kega o~] shimasu
せき,cough,seki
[せきが~] でます,have a cough,[seki ga~] demasu
インフルエンザ,influenza,infuruenza
そら,sky,sora
たいよう,sun,taiyō
ほし,star,hoshi
つき,moon,tsuki
かぜ,wind,kaze
きた,north,kita
みなみ,south,minami
にし,west,nishi
ひがし,east,higashi
すいどう,water supply / tap water,suidō
エンジン,engine,enjin
チーム,team,chīmu
こんや,this evening / tonight,konya
ゆうがた,late afternoon / evening,yūgata
まえ,before / formerly,mae
おそく,late (time),osoku
こんなに,like this,konnani
そんなに,like that (concerning the listener),sonnani
あんなに,like that (concerning something far away),annani
もしかしたら,possibly / perhaps,moshikashitara
それはいけませんね,That's too bad,sore wa ikemasen ne
オリンピック,Olympic Games,orinpikku
げんき,health / vigor,genki
い,stomach,i
はたらきすぎ,working too much / overwork,hatarakisugi
ストレス,stress,sutoresu
むりをします,work more than one's capacity,muri o shimasu
ゆっくりします,take one's time / relax,yukkuri shimasu
ほしうらない,horoscope / astrology,hoshiuranai
おうしざ,Taurus (the Bull),ōshiza
こまります,be in trouble / have a problem,komarimasu
たからくじ,lottery,takarakuji
あたります,win [a lottery],atarimasu
[たからくじが~] あたります,win [a lottery],[takarakuji ga~] atarimasu
けんこう,health,kenkō
れんあい,romantic love,renai
こいびと,boyfriend / girlfriend,koibito
おかねもち,rich person,okanemochi
