japanese,english,reading
かんたん[な],easy / simple,kantan[na]
ちかい,near / close,chikai
とおい,far,tooi
はやい,fast / early,hayai
おそい,slow / late,osoi
おおい,many / much,ooi
[ひとが~] おおい,many [people],[hito ga~] ooi
すくない,few / a little,sukunai
[ひとが~] すくない,few [people],[hito ga~] sukunai
あたたかい,warm,atatakai
すずしい,cool,suzushii
あまい,sweet,amai
からい,spicy / hot,karai
おもい,heavy,omoi
かるい,light,karui
いい,prefer,ii
[コーヒーが~] いい,prefer [coffee],[kōhī ga~] ii
きせつ,season,kisetsu
はる,spring,haru
なつ,summer,natsu
あき,autumn / fall,aki
ふゆ,winter,fuyu
てんき,weather,tenki
あめ,rain,ame
ゆき,snow,yuki
くもり,cloudy,kumori
ホテル,hotel,hoteru
くうこう,airport,kūkō
うみ,sea / ocean,umi
せかい,world,sekai
パーティー,party,pātī
[お]まつり,festival,[o]matsuri
しけん,examination / exam,shiken
すきやき,sukiyaki (beef and vegetable hot pot),sukiyaki
さしみ,sashimi (sliced raw fish),sashimi
[お]すし,sushi,[o]sushi
てんぷら,tempura,tenpura
いけばな,flower arrangement,ikebana
[を~] します,practice flower arrangement,[o~] shimasu
もみじ,maple / red autumn leaves,momiji
どちら,which (of two choices),dochira
どちらも,both,dochiramo
ずっと,by far / much more,zutto
はじめて,for the first time,hajimete
ただいま,I'm home.,tadaima
おかえりなさい,Welcome home.,okaerinasai
すごいですね,That's amazing.,sugoi desu ne
でも,but,demo
つかれました,I'm tired.,tsukaremashita
ぎおんまつり,Gion Festival,gionmatsuri
