japanese,english,reading
みます,check / take a look at,mimasu
さがします,look for / search for,sagashimasu
[じかんに~] おくれます,be late [for an appointment/time],okuremasu
[じかんに~] まにあいます,be in time [for an appointment/time],mani aimasu
やります,do,yarimasu
ひろいます,pick up,hiroimasu
れんらくします,contact / get in touch with,renrakushimasu
[にもつが~] かたづきます,[boxes/room] be put in order / tidied up,katazukimasu
[ごみを~] だします,put out [the garbage],dashimasu
[ごみが~] もえます,[garbage] burn,moemasu
つごうがいい,convenient (regarding time),tsugō ga ii
つごうがわるい,inconvenient (regarding time),tsugō ga warui
きぶんがいい,feel well / in a good mood,kibun ga ii
きぶんがわるい,feel ill / feel sick,kibun ga warui
こわい,scary / be afraid of,kowai
しんぶんしゃ,newspaper publishing company,shinbunsha
じゅうどう,judo,jūdō
うんどうかい,athletic meeting / sports day,undōkai
ばしょ,place / location,basho
ボランティア,volunteer,borantia
～べん,... dialect,~ben
ごみ,garbage / rubbish / waste,gomi
おきば,place where something is kept/put,okiba
よこ,side / next to,yoko
びん,bottle,bin
かん,can,kan
おゆ,hot water,oyu
ガス,gas,gas
かいしゃ,company,kaisha
うちゅう,space / universe,uchū
うちゅうせん,spaceship,uchūsen
うちゅうひこうし,astronaut,uchūhikōshi
さいふ,wallet / purse,saifu
こっかいぎじどう,the Diet Building (Parliament),kokkai gijidō
へいじつ,weekday,heijitsu
こんど,next time / another time,kondo
ずいぶん,very / pretty / considerably,zuibun
ちょくせつ,directly,chokutsu
いつでも,anytime,itsudemo
どこでも,anywhere,dokodemo
だれでも,anybody,daredemo
なんでも,anything,nandemo
こんな～,like this / this kind of...,konna ~
そんな～,like that / that kind of...,sonna ~
あんな～,like that / that kind of...,anna ~
こまったなあ,What shall I do? / I'm in trouble.,komatta nā
